Key	S_bandwidth	S_DOS	S_total
mp-btf	-1.0	0.7827926340390591	0.0
mp-bboq	-1.0	0.6211955812532121	0.0
mp-bgnqp	-1.0	0.796314647512244	0.0
mp-bpw	-1.0	0.5373135910133781	0.0
mp-bfcwo	-1.0	0.833563384670011	0.0
mp-bxfbo	-1.0	0.46918311817355	0.0
mp-cdjmm	-1.0	0.377601921095904	0.0
mp-hef	0.025123115433965	0.76122766630059	0.2068606245872046
mp-bcim	0.024959490449614	0.590515844861219	0.1836290596002949
mp-crkvh	-1.0	0.766433021835739	0.0
mp-bkrjv	-1.0	0.908896537539068	0.0
mp-cprgd	-1.0	0.433490229364871	0.0
mp-bmnag	-1.0	0.7050207952757721	0.0
mp-cfkpy	-1.0	0.5959868028023261	0.0
mp-cpoou	-1.0	0.891701383478639	0.0
mp-qxg	-1.0	0.787931241300986	0.0
mp-cgown	1.096622310348127e-06	0.653505764504503	0.1635379231218579
mp-bxfqi	-1.0	0.752192677638969	0.0
mp-crsoj	-1.0	0.565210263332336	0.0
mp-cpnvj	-1.0	0.8100915616648751	0.0
mp-bfha	0.223740493555846	0.7386042247080651	0.5456552916019859
mp-bawo	-1.0	0.34742239560645	0.0
mp-bpzte	0.452424594210644	0.7677027514344931	0.8716309448187783
mp-cioim	-1.0	0.8153449932427841	0.0
mp-fjb	0.045164230675389	0.7236177641944901	0.2312744467535721
mp-cnhtb	-1.0	0.800513926712745	0.0
mp-bmysj	-1.0	0.459990320897545	0.0
mp-bftll	0.011477212782368	0.6747147087315041	0.1793849686994141
mp-bghyv	-1.0	0.533763213209368	0.0
mp-cearw	-1.0	0.6693382290027691	0.0
mp-eu	-1.0	0.7146891063616361	0.0
mp-bxbsc	-1.0	0.7960214008092551	0.0
mp-cginl	-1.0	0.636269975919432	0.0
mp-cqqxk	-1.0	0.661061491668224	0.0
mp-cjjxu	-1.0	0.7124723482649951	0.0
mp-crryu	-1.0	0.757397985444601	0.0
mp-cmt	-1.0	0.759445347728112	0.0
mp-cgivh	-1.0	0.613462882622631	0.0
mp-cflkn	-1.0	0.86909655527508	0.0
mp-bbsu	-1.0	0.7002617911836541	0.0
mp-chdmx	-1.0	0.7142831859745611	0.0
mp-cnc	-1.0	0.7854498908961101	0.0
mp-lld	0.5366190985638171	0.728785177337916	0.910591459485794
mp-cpkne	-1.0	0.773106951296593	0.0
mp-ckvqg	0.08704923176426	0.696116750000312	0.2892045456662678
mp-hxm	-1.0	0.607069964352781	0.0
mp-bbyi	0.488481845906196	0.132708302722306	0.2784659382439206
mp-bgmwt	-1.0	0.584889114120275	0.0
mp-mcl	-1.0	0.8766838965148821	0.0
mp-crrwp	-1.0	0.68479139698663	0.0
mp-xq	0.860517510922394	0.886659635215967	0.9973046333242817
mp-cduae	-1.0	0.8303516806582371	0.0
mp-bxgbc	-1.0	0.696886777068462	0.0
mp-crgzs	-1.0	0.675795261955722	0.0
mp-cjlbu	-1.0	0.702948235561182	0.0
mp-bdqf	0.073406572020339	0.7384275013226611	0.2777379616304821
mp-bghpe	0.022879835741861	0.754594657176039	0.202926318246995
mp-cdvtu	-1.0	0.5525801793828921	0.0
mp-bpgq	-1.0	0.6361170806727331	0.0
mp-cpjmg	-1.0	0.7520143732508731	0.0
mp-cjibs	-1.0	0.6796987076362331	0.0
mp-bicn	0.312049589639706	0.647058537462591	0.6287100091097714
mp-bjydc	0.011144996745893	0.90442287713978	0.1959225909840917
mp-bxdrv	-1.0	0.6637228557614511	0.0
mp-bxhbb	-1.0	0.659233132475695	0.0
mp-bdaoh	0.518845091334966	0.5802779697675641	0.8130336879988954
mp-cdijb	-1.0	0.8504774365137171	0.0
mp-cdytm	-1.0	0.714988022465443	0.0
mp-bdbhd	0.441491294029161	0.8192248783728411	0.8862806422721548
mp-btrk	-1.0	0.904328770262574	0.0
mp-crsok	-1.0	0.685605841287631	0.0
mp-bfbek	0.456074401724628	0.0	0.1336777570834869
mp-prz	-1.0	0.631338579563637	0.0
mp-ciwgx	-1.0	0.565139634843932	0.0
mp-bxgwd	-1.0	0.7420030923423591	0.0
mp-rdl	-1.0	0.35135266988093	0.0
mp-ccds	-1.0	0.536514123386312	0.0
mp-cgjqy	-1.0	0.695606385338953	0.0
mp-bgyu	0.238750717642027	0.8807969357379021	0.6535587500055645
mp-cdhps	-1.0	0.478130496696159	0.0
mp-cgmw	0.7028898788330991	0.7726095173459251	0.9768243919771924
mp-crdyi	0.025949048157984	0.598416131246129	0.1860959317907925
mp-cjmwp	-1.0	0.7187197370444951	0.0
mp-cpnbp	-1.0	0.7125826051131431	0.0
mp-bjqdi	0.263263297793843	0.598776248478862	0.5207604067558115
mp-crmoe	-1.0	0.8166024804470781	0.0
mp-bxiyg	-1.0	0.830920812945923	0.0
mp-dcbmy	0.9045084971874732	0.7867728329070951	0.9953885396526332
mp-vhu	-1.0	0.680890034294933	0.0
mp-buoh	-1.0	0.69244337211868	0.0
mp-crtqe	-1.0	0.713206822603043	0.0
mp-cqpzf	-1.0	0.480794354679356	0.0
mp-bfeh	-1.0	0.557067156827185	0.0
mp-rg	-1.0	0.8450061823334121	0.0
mp-cpqls	-1.0	0.778989363624994	0.0
mp-crvam	-1.0	0.7383845396562311	0.0
mp-cpmzz	-1.0	0.758941314427177	0.0
mp-ipw	0.422817243084866	0.9628588957319052	0.9232129463412532
mp-cfzyg	-1.0	0.9113887023114372	0.0
mp-tgk	-1.0	0.781716625572565	0.0
mp-cpjql	-1.0	0.844173059776651	0.0
mp-bzju	0.459726569548669	0.5435494909436901	0.7270767202699467
mp-bctqj	0.985190056916352	0.8722289425977181	0.9991971887808996
mp-bglan	-1.0	0.837387171993454	0.0
mp-cpmnh	-1.0	0.8560861828344191	0.0
mp-cprve	-1.0	0.5932766449712911	0.0
mp-btll	-1.0	0.55364285671931	0.0
