material_id,formula_pretty,spacegroup_number,wyckoff_positions
mp-hawqp,Nb4SiB2Mo,140,"Nb:8l,Si:2a,B:4h,Mo:2c"
mp-hawqq,CsScMnSe3,63,"Cs:2c,Sc:2a,Mn:2c,Se:4f,Se:2c"
mp-hawqr,Lu4Ge3P3Ir7,160,"Lu:1a,Lu:3b,Ge:3b,P:3b,Ir:6c,Ir:1a"
mp-hawqs,Ba4NaIr4I,187,"Ba:2i,Ba:2i,Na:1a,Ir:2g,Ir:2h,I:1d"
mp-hawqt,K2Ge(AuSe2)2,70,"K:4g,Ge:2b,Au:4g,Se:8h"
mp-hawqu,K3Sc(SeO4)3,148,"K:6f,Sc:1a,Sc:1b,Se:6f,O:6f,O:6f,O:6f,O:6f"
mp-hawqv,Re6SbP12,148,"Re:6f,Re:6f,Sb:2c,P:6f,P:6f,P:6f,P:6f"
mp-hawqw,CsK3HfSe4,62,"Cs:4a,K:4c,K:8d,Hf:4c,Se:4c,Se:8d,Se:4c"
mp-hawqx,Sr21Ga8Si6Bi,225,"Sr:8f,Sr:12i,Sr:1a,Ga:8f,Si:6e,Bi:1b"
mp-hawqy,BaAg3(NO3)8,148,"Ba:1b,Ag:3d,N:6f,N:2c,O:6f,O:6f,O:6f,O:6f"
mp-hawqz,Rb3Li2ZrAs3,64,"Rb:8g,Rb:4f,Li:4d,Li:4d,Zr:4d,As:8g,As:4f"
mp-hawra,Na4CaSi12Ir19,174,"Na:3k,Na:1c,Ca:1a,Si:3k,Si:3j,Si:3j,Si:3k,Ir:3j,Ir:3k,Ir:3k,Ir:3j,Ir:3k,Ir:3j,Ir:1e"
mp-hawrb,MgIn2(SeO3)4,14,"Mg:2a,In:4e,Se:4e,Se:4e,O:4e,O:4e,O:4e,O:4e,O:4e,O:4e"
mp-hawrc,Cs4YSbCl12,141,"Cs:8f,Y:2b,Sb:2a,Cl:8h,Cl:4e,Cl:4e,Cl:8h"
mp-hawrd,MnAg3(NO3)8,148,"Mn:1a,Ag:3e,N:6f,N:2c,O:6f,O:6f,O:6f,O:6f"
mp-hawre,RbBaMoH9,189,"Rb:3f,Ba:3g,Mo:2d,Mo:1a,H:12l,H:3f,H:6i,H:6k"
mp-hawrf,NaTa4AsO13,36,"Na:2a,Ta:4b,Ta:4b,As:2a,O:2a,O:4b,O:4b,O:4b,O:2a,O:2a,O:4b,O:4b"
mp-hawrg,Na2Hf3OF12,166,"Na:1a,Na:1b,Na:2c,Hf:6h,O:2c,F:6h,F:6h,F:6f,F:6h"
mp-hawrh,RbBa4Bi3O,140,"Rb:2c,Ba:8l,Bi:4h,Bi:2a,O:2b"
mp-hawri,Sr2LiIO6,87,"Sr:2d,Li:1b,I:1a,O:4h,O:2e"
mp-hawrj,Ba6HPb2N,225,"Ba:6e,H:1a,Pb:2c,N:1b"
mp-hawrk,YLu(SnRh)2,189,"Y:3f,Lu:3g,Sn:6i,Rh:4h,Rh:1b,Rh:1a"
mp-hawrl,RbTe7W6,148,"Rb:2c,Te:6f,Te:6f,Te:2c,W:6f,W:6f"
mp-hawrm,Ca2B4Ir3Ru,5,"Ca:1a,Ca:1b,B:2c,B:2c,Ir:1b,Ir:1b,Ir:1a,Ru:1a"
mp-hawrn,Be(Nb2Sb)2,140,"Be:2a,Nb:8k,Sb:4h"
mp-hawro,Hf6AlSi6Tc5,44,"Hf:4e,Hf:2c,Al:1a,Si:2d,Si:2d,Si:2c,Tc:2d,Tc:2d,Tc:1b"
mp-hawrp,CaMnBr18,148,"Ca:1b,Mn:1a,Br:6f,Br:6f,Br:6f"
mp-hawrq,Zr3AlSn2Ir3,40,"Zr:2b,Zr:2b,Zr:2b,Al:2a,Sn:4c,Ir:4c,Ir:2b"
mp-hawrr,BaSrHgAs2,36,"Ba:2a,Sr:2a,Hg:2a,As:2a,As:2a"
mp-hawrs,Y7Co2Sn23Os4,8,"Y:1a,Y:2b,Y:1a,Y:2b,Y:1a,Co:2b,Sn:1a,Sn:1a,Sn:2b,Sn:1a,Sn:2b,Sn:2b,Sn:2b,Sn:2b,Sn:2b,Sn:1a,Sn:2b,Sn:1a,Sn:1a,Sn:1a,Sn:1a,Sn:1a,Os:1a,Os:2b,Os:1a"
mp-hawrt,Ba2TaRhS6,164,"Ba:2d,Ta:1a,Rh:1b,S:6i"
mp-hawru,Y2Ga3SiIr4,99,"Y:1b,Y:1a,Ga:2c,Ga:1a,Si:1b,Ir:1a,Ir:1b,Ir:2c"
mp-hawrv,Ba2AgClO2,166,"Ba:2c,Ag:1b,Cl:1a,O:2c"
mp-hawrw,Sc22Tc4Ir3Os,12,"Sc:2i,Sc:2i,Sc:2g,Sc:4j,Sc:4j,Sc:4j,Sc:4j,Tc:1a,Tc:2f,Tc:1d,Ir:2e,Ir:1c,Os:1b"
mp-hawrx,ScBeB14,74,"Sc:2e,Be:2d,B:4h,B:4h,B:4h,B:8j,B:8j"
mp-hawry,TiZn8Pd3O16,3,"Ti:1d,Zn:2e,Zn:2e,Zn:1a,Zn:1b,Zn:2e,Pd:1c,Pd:2e,O:2e,O:2e,O:2e,O:2e,O:2e,O:2e,O:2e,O:2e"
mp-hawrz,Zr6Zn16Cu7B,225,"Zr:6e,Zn:8f,Zn:8f,Cu:6d,Cu:1a,B:1b"
mp-hawsa,Li3Bi2(SbS2)9,1,"Li:1a,Li:1a,Li:1a,Bi:1a,Bi:1a,Sb:1a,Sb:1a,Sb:1a,Sb:1a,Sb:1a,Sb:1a,Sb:1a,Sb:1a,Sb:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a"
mp-hawsb,Sr3HfMn2O9,194,"Sr:4f,Sr:2b,Hf:2a,Mn:4f,O:6h,O:12k"
mp-hawsc,Sc22Tc3OsRh4,71,"Sc:4l,Sc:4m,Sc:2i,Sc:4n,Sc:4l,Sc:4m,Tc:1b,Tc:1c,Tc:1a,Os:1d,Rh:4k"
mp-hawsd,K6Tc2N4O3,14,"K:4e,K:4e,K:4e,Tc:4e,N:4e,N:4e,O:2d,O:4e"
mp-hawse,Ta2Zn(Co10B3)2,225,"Ta:2c,Zn:1a,Co:8f,Co:12h,B:6e"
mp-hawsf,Al7Ga7Se20,1,"Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Ga:1a,Ga:1a,Ga:1a,Ga:1a,Ga:1a,Ga:1a,Ga:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a"
mp-hawsg,Cs12Mo3WS16,6,"Cs:2c,Cs:2c,Cs:2c,Cs:2c,Cs:1a,Cs:1a,Cs:1b,Cs:1b,Mo:1a,Mo:1a,Mo:1b,W:1b,S:1a,S:1a,S:1b,S:1b,S:1a,S:1a,S:1b,S:1b,S:2c,S:2c,S:2c,S:2c"
mp-hawsh,K2RbNbSe4,62,"K:8d,Rb:4c,Nb:4c,Se:8d,Se:4c,Se:4c"
mp-hawsi,CsRb2AsSe4,62,"Cs:4c,Rb:8d,As:4c,Se:8d,Se:4c,Se:4c"
mp-hawsj,Zr10Ti3Al9Ir8,160,"Zr:3b,Zr:3b,Zr:1a,Zr:3b,Ti:3b,Al:1a,Al:3b,Al:1a,Al:3b,Al:1a,Ir:3b,Ir:3b,Ir:1a,Ir:1a"
mp-hawsk,Zr6Al12V4Os7,216,"Zr:6f,Al:4e,Al:4e,Al:4e,V:4e,Os:1a,Os:6g"
mp-hawsl,Zn24NiPtAu6,200,"Zn:12k,Zn:12j,Ni:1a,Pt:1b,Au:6f"
mp-hawsm,Sc12Be2RuI16,2,"Sc:2i,Sc:2i,Sc:2i,Sc:2i,Sc:2i,Sc:2i,Be:2i,Ru:1g,I:2i,I:2i,I:2i,I:2i,I:2i,I:2i,I:2i,I:2i"
mp-hawsn,Mn2SCl12,11,"Mn:2e,Mn:2e,S:2e,Cl:4f,Cl:4f,Cl:2e,Cl:4f,Cl:4f,Cl:2e,Cl:2e,Cl:2e"
mp-hawso,Ba3ZrRh2O9,194,"Ba:4f,Ba:2b,Zr:2a,Rh:4f,O:12k,O:6h"
mp-hawsp,Rb3ZrIr2O9,194,"Rb:4f,Rb:2b,Zr:2a,Ir:4f,O:12k,O:6h"
mp-hawsq,Y3Si6(Pd4Pt)4,8,"Y:1a,Y:1a,Y:1a,Si:1a,Si:1a,Si:2b,Si:2b,Pd:2b,Pd:1a,Pd:1a,Pd:1a,Pd:1a,Pd:2b,Pd:2b,Pd:2b,Pd:2b,Pd:2b,Pt:1a,Pt:1a,Pt:2b"
mp-hawsr,Hf5NbAl16Co7,107,"Hf:4c,Hf:1a,Nb:1a,Al:4d,Al:4d,Al:4d,Al:4d,Co:1a,Co:2b,Co:4c"
mp-hawss,Ta3Fe(AsO4)6,146,"Ta:1a,Ta:1a,Ta:1a,Fe:1a,As:3b,As:3b,O:3b,O:3b,O:3b,O:3b,O:3b,O:3b,O:3b,O:3b"
mp-hawst,Hf6Ta4Al12Os7,216,"Hf:6g,Ta:4e,Al:4e,Al:4e,Al:4e,Os:1d,Os:6f"
mp-hawsu,Zr6Ti7Al9Ir8,160,"Zr:3b,Zr:3b,Ti:1a,Ti:3b,Ti:3b,Al:1a,Al:3b,Al:1a,Al:3b,Al:1a,Ir:3b,Ir:3b,Ir:1a,Ir:1a"
mp-hawsv,Sr3Sc2TcO9,12,"Sr:4j,Sr:2h,Sc:1b,Sc:2i,Sc:1a,Tc:2i,O:4j,O:2g,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i"
mp-hawsw,Cs4Sr(VSe4)2,2,"Cs:2i,Cs:2i,Cs:2i,Cs:2i,Sr:2i,V:2i,V:2i,Se:2i,Se:2i,Se:2i,Se:2i,Se:2i,Se:2i,Se:2i,Se:2i"
mp-hawsx,Mn2Al3IrS8,166,"Mn:2c,Al:3e,Ir:1b,S:6h,S:2c"
mp-hawsy,Sr5Si2SbH,140,"Sr:2c,Sr:8l,Si:4h,Sb:2a,H:2b"
mp-hawsz,Hf4Zr6Sn5Sb2,8,"Hf:2b,Hf:2b,Zr:1a,Zr:2b,Zr:1a,Zr:2b,Sn:2b,Sn:1a,Sn:2b,Sb:1a,Sb:1a"
mp-hawta,TaNb3Te8H3,187,"Ta:1f,Nb:1e,Nb:2h,Te:2i,Te:2i,Te:2h,Te:2h,H:1b,H:2g"
mp-hawtb,RbAs12Ir3Os,148,"Rb:1a,As:6f,As:6f,Ir:3d,Os:1b"
mp-hawtc,Cs3LuAs2,72,"Cs:4j,Cs:2a,Lu:2b,As:4j"
mp-hawtd,Ru(SeBr6)2,12,"Ru:1a,Se:2i,Br:4j,Br:4j,Br:2i,Br:2i"
mp-hawte,TiB2Mo4P,140,"Ti:2c,B:4h,Mo:8l,P:2a"
mp-hawtf,SrAs12Ru3Pt,148,"Sr:1a,As:6f,As:6f,Ru:3d,Pt:1b"
mp-hawtg,Y12In2Tc3,139,"Y:4h,Y:8n,In:2c,Tc:2e,Tc:1a"
mp-hawth,Y9Mg(Zn2Bi)2,87,"Y:1a,Y:8i,Mg:1b,Zn:4h,Bi:2e"
mp-hawti,MnAgCl4,15,"Mn:2d,Ag:2e,Cl:4f,Cl:4f"
mp-hawtj,Lu12Cd2Fe2Tc,139,"Lu:4h,Lu:8n,Cd:2c,Fe:2e,Tc:1a"
mp-hawtk,CsTa(AgSe2)2,40,"Cs:2b,Ta:2b,Ag:2a,Ag:2b,Se:2b,Se:4c,Se:2b"
mp-hawtl,Ti2Mn2ZnC3,194,"Ti:4f,Mn:4e,Zn:2c,C:2a,C:4f"
mp-hawtm,NaAs2Pd3,12,"Na:1a,Na:2i,As:2i,As:2i,As:2i,Pd:2i,Pd:2i,Pd:2i,Pd:2i,Pd:1d"
mp-hawtn,CsH9Os,155,"Cs:1a,H:3e,H:6f,Os:1b"
mp-hawto,Zr4SiBi2,140,"Zr:8k,Si:2a,Bi:4h"
mp-hawtp,BaSr2C3Cl2,63,"Ba:2c,Sr:4f,C:4f,C:2c,Cl:2c,Cl:2a"
mp-hawtq,Sc12Co4SnRh,71,"Sc:4m,Sc:4l,Sc:4n,Co:2e,Co:2j,Sn:1c,Rh:1a"
mp-hawtr,Cs4NaScSe4,23,"Cs:4k,Na:1a,Sc:1b,Se:4k"
mp-hawts,TiNb4Si3,140,"Ti:2c,Nb:8l,Si:4h,Si:2a"
mp-hawtt,NiSb2F12,2,"Ni:1h,Sb:2i,F:2i,F:2i,F:2i,F:2i,F:2i,F:2i"
mp-hawtu,BaAs12Os3Pd,148,"Ba:1a,As:6f,As:6f,Os:3d,Pd:1b"
mp-hawtv,Sc3NiSb4Au3,8,"Sc:1a,Sc:2b,Ni:1a,Sb:1a,Sb:1a,Sb:2b,Au:1a,Au:2b"
mp-hawtw,Ta2Ni4P4Ru3,12,"Ta:2i,Ni:2i,Ni:2i,P:2i,P:2i,Ru:2i,Ru:1b"
mp-hawtx,Cs3NaSn4,63,"Cs:2c,Cs:4f,Na:2a,Sn:4g,Sn:4f"
mp-hawty,Rb3NaSn4,63,"Rb:4f,Rb:2c,Na:2a,Sn:4g,Sn:4f"
mp-hawtz,Cs2KAsO4,11,"Cs:2e,Cs:2e,K:2e,As:2e,O:4f,O:2e,O:2e"
mp-hawua,Sc5Ta(SiTc)6,44,"Sc:2d,Sc:2d,Sc:1b,Ta:1a,Si:1b,Si:1a,Si:4e,Tc:2c,Tc:4e"
mp-hawub,BaSc2(H6Ru)2,164,"Ba:1a,Sc:2d,H:6i,H:6i,Ru:2d"
mp-hawuc,TiMn(AlRh2)2,141,"Ti:2b,Mn:2a,Al:4e,Rh:8f"
mp-hawud,V(Ga4Ir)3,38,"V:1b,Ga:2e,Ga:2d,Ga:2c,Ga:2c,Ga:4f,Ir:1b,Ir:2d"
mp-hawue,Sr3LuBi3,9,"Sr:2a,Sr:2a,Sr:2a,Lu:2a,Bi:2a,Bi:2a,Bi:2a"
mp-hawuf,Al3Cu(RhS4)2,44,"Al:2c,Al:1b,Cu:1a,Rh:2d,S:2c,S:2d,S:2d,S:2c"
mp-hawug,Zr3Ta(AlRh5)2,38,"Zr:1a,Zr:1b,Zr:1a,Ta:1b,Al:2c,Rh:2d,Rh:2e,Rh:4f,Rh:2c"
mp-hawuh,Ti5Si2B4Mo5,1,"Ti:1a,Ti:1a,Ti:1a,Ti:1a,Ti:1a,Si:1a,Si:1a,B:1a,B:1a,B:1a,B:1a,Mo:1a,Mo:1a,Mo:1a,Mo:1a,Mo:1a"
mp-hawui,Ba5Hg2(Sb2O)2,12,"Ba:2i,Ba:2i,Ba:1a,Hg:2i,Sb:2i,Sb:2i,O:2i"
mp-hawuj,Rb3YSb2,72,"Rb:4j,Rb:2b,Y:2a,Sb:4j"
mp-hawuk,LiHf(TcSn4)2,87,"Li:1a,Hf:1b,Tc:2e,Sn:8i"
mp-hawul,ZrCd(SbPt)2,122,"Zr:2b,Cd:2a,Sb:4c,Pt:4d"
mp-hawum,Lu12Co5Pb,71,"Lu:4n,Lu:4m,Lu:4l,Co:2j,Co:2g,Co:1a,Pb:1c"
mp-hawun,Al11Re3Ru,1,"Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Al:1a,Re:1a,Re:1a,Re:1a,Ru:1a"
mp-hawuo,Hf9ZrGa3Sb5,6,"Hf:1b,Hf:1a,Hf:1b,Hf:1a,Hf:2c,Hf:2c,Hf:1b,Zr:1a,Ga:2c,Ga:1b,Sb:1b,Sb:1a,Sb:1a,Sb:1b,Sb:1a"
mp-hawup,Ti6GaSiN2,38,"Ti:2c,Ti:2c,Ti:1b,Ti:1a,Ga:1a,Si:1b,N:2c"
mp-hawuq,Lu4Cu(GeIr)6,119,"Lu:4h,Cu:1d,Ge:2e,Ge:4i,Ir:4i,Ir:1c,Ir:1a"
mp-hawur,SiRh2Se5,10,"Si:2n,Rh:2m,Rh:2n,Se:2m,Se:2m,Se:2n,Se:2n,Se:2m"
mp-hawus,ZrTi2TeCl7,8,"Zr:1a,Ti:2b,Te:1a,Cl:2b,Cl:1a,Cl:1a,Cl:2b,Cl:1a"
mp-hawut,RbBa4As3O,140,"Rb:2c,Ba:8l,As:4h,As:2a,O:2b"
mp-hawuu,RbZrCuS3,63,"Rb:2c,Zr:2a,Cu:2c,S:4f,S:2c"
mp-hawuv,Mn4GePd8Au3,139,"Mn:4h,Ge:1a,Pd:8n,Au:2c,Au:1b"
mp-hawuw,Zr10Zn2(InTe)3,189,"Zr:3f,Zr:3g,Zr:4h,Zn:2e,In:3g,Te:3f"
mp-hawux,Cd2FeRh3O8,166,"Cd:2c,Fe:1a,Rh:3d,O:6h,O:2c"
mp-hawuy,ZrGaNi3Au,160,"Zr:1a,Ga:1a,Ni:3b,Au:1a"
mp-hawuz,Rb2Ag2SnTe4,13,"Rb:2e,Rb:2a,Ag:4g,Sn:2f,Te:4g,Te:4g"
mp-hawva,Nb3Al2ReC,227,"Nb:12f,Al:8e,Re:4c,C:4d"
mp-hawvb,Na4Hf6FeI18,2,"Na:2i,Na:2i,Hf:2i,Hf:2i,Hf:2i,Fe:1a,I:2i,I:2i,I:2i,I:2i,I:2i,I:2i,I:2i,I:2i,I:2i"
mp-hawvc,Rb2VZn3As4,21,"Rb:2k,V:1a,Zn:1c,Zn:1b,Zn:1d,As:4l"
mp-hawvd,Ba2GeAs3Ir4,38,"Ba:1b,Ba:1a,Ge:1b,As:1a,As:1a,As:1b,Ir:4f"
mp-hawve,YCo2SiC,63,"Y:2c,Co:4f,Si:2c,C:2a"
mp-hawvf,Zr12Zn9Pd3N4,166,"Zr:6h,Zr:6h,Zn:6h,Zn:2c,Zn:1a,Pd:3d,N:3e,N:1b"
mp-hawvg,Cs2Mg2CdSe4,72,"Cs:4j,Mg:4g,Cd:2a,Se:8k"
mp-hawvh,Ca4Ga2Ir3Pd,1,"Ca:1a,Ca:1a,Ca:1a,Ca:1a,Ga:1a,Ga:1a,Ir:1a,Ir:1a,Ir:1a,Pd:1a"
mp-hawvi,Hf6Pd2CN,12,"Hf:2i,Hf:2i,Hf:2i,Pd:2i,C:1a,N:1c"
mp-hawvj,Ta3Al2RuN,227,"Ta:12f,Al:8e,Ru:4d,N:4c"
mp-hawvk,Ag6PSe5I,9,"Ag:2a,Ag:2a,Ag:2a,Ag:2a,Ag:2a,Ag:2a,P:2a,Se:2a,Se:2a,Se:2a,Se:2a,Se:2a,I:2a"
mp-hawvl,Ba10MnTcN10,5,"Ba:2c,Ba:2c,Ba:2c,Ba:2c,Ba:2c,Mn:1a,Tc:1a,N:2c,N:2c,N:2c,N:2c,N:2c"
mp-hawvm,NaZrCrS4,1,"Na:1a,Na:1a,Na:1a,Na:1a,Zr:1a,Zr:1a,Zr:1a,Zr:1a,Cr:1a,Cr:1a,Cr:1a,Cr:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a,S:1a"
mp-hawvn,TiRe2O9,36,"Ti:2a,Re:2a,Re:2a,O:2a,O:2a,O:2a,O:4b,O:2a,O:2a,O:4b"
mp-hawvo,CsK2SbSe3,198,"Cs:4a,K:4a,K:4a,Sb:4a,Se:12b"
mp-hawvp,Sr8Ti3CoO16,71,"Sr:2j,Sr:4l,Sr:2i,Ti:2h,Ti:1d,Co:1a,O:2j,O:4l,O:2i,O:4n,O:4n"
mp-hawvq,K4ReSb2F14,2,"K:2i,K:2i,Re:1a,Sb:2i,F:2i,F:2i,F:2i,F:2i,F:2i,F:2i,F:2i"
mp-hawvr,AgBiRu2O7,74,"Ag:2c,Bi:2a,Ru:2b,Ru:2d,O:2e,O:8j,O:2e,O:2e"
mp-hawvs,Na16ZrSiAs8,216,"Na:4e,Na:6g,Na:6f,Zr:1b,Si:1c,As:4e,As:4e"
mp-hawvt,Rb5Au(ClO)2,55,"Rb:4h,Rb:4g,Rb:2c,Au:2a,Cl:4h,O:4g"
mp-hawvu,SrCa7(VN3)4,1,"Sr:1a,Ca:1a,Ca:1a,Ca:1a,Ca:1a,Ca:1a,Ca:1a,Ca:1a,V:1a,V:1a,V:1a,V:1a,N:1a,N:1a,N:1a,N:1a,N:1a,N:1a,N:1a,N:1a,N:1a,N:1a,N:1a,N:1a"
mp-hawvv,Be4Co2BW6,227,"Be:8e,Co:4d,B:2a,W:12f"
mp-hawvw,Ca4Ga15(SiIr2)3,1,"Ca:1a,Ca:1a,Ca:1a,Ca:1a,Ga:1a,Ga:1a,Ga:1a,Ga:1a,Ga:1a,Ga:1a,Ga:1a,Ga:1a,Ga:1a,Ga:1a,Ga:1a,Ga:1a,Ga:1a,Ga:1a,Ga:1a,Si:1a,Si:1a,Si:1a,Ir:1a,Ir:1a,Ir:1a,Ir:1a,Ir:1a,Ir:1a"
mp-hawvx,Hf6Zn5PdN2,160,"Hf:3b,Hf:3b,Hf:3b,Hf:3b,Zn:3b,Zn:1a,Zn:3b,Zn:3b,Pd:1a,Pd:1a,N:1a,N:3b"
mp-hawvy,K6ScTe4I,186,"K:6c,K:6c,Sc:2b,Te:6c,Te:2b,I:2a"
mp-hawvz,BaLuSi4N7,186,"Ba:2b,Lu:2b,Si:6c,Si:2a,N:2a,N:6c,N:6c"
mp-hawwa,Zr13Sn3(Rh2N)4,166,"Zr:1b,Zr:6h,Zr:6h,Sn:3e,Rh:6h,Rh:2c,N:3d,N:1a"
mp-hawwb,Ta12Cr5Ga7N4,160,"Ta:3b,Ta:3b,Ta:3b,Ta:3b,Cr:3b,Cr:1a,Cr:1a,Ga:3b,Ga:1a,Ga:3b,N:3b,N:1a"
mp-hawwc,Cs3Ba3ScSb4,186,"Cs:6c,Ba:6c,Sc:2b,Sb:6c,Sb:2b"
mp-hawwd,Hf13In3(Rh2N)4,166,"Hf:1b,Hf:6h,Hf:6h,In:3e,Rh:6h,Rh:2c,N:3d,N:1a"
mp-hawwe,Na5OsNO4,63,"Na:4e,Na:4g,Na:2b,Os:2c,N:2c,O:8h"
mp-hawwf,LiPb4IO4,85,"Li:2c,Pb:8g,I:2c,O:8g"
mp-hawwg,Cs6Rb2SnAs4,227,"Cs:12f,Rb:4d,Sn:2b,As:8e"
mp-hawwh,Ba4Na(AsIr)10,87,"Ba:4h,Na:1a,As:8i,As:2e,Ir:8i,Ir:2d"
mp-hawwi,Cd3GeP6N13,160,"Cd:3b,Ge:1a,P:6c,N:1a,N:3b,N:6c,N:3b"
mp-hawwj,NaSrCuH4,198,"Na:4a,Sr:4a,Cu:4a,H:12b,H:4a"
mp-hawwk,Nb12Al9Tc3C4,166,"Nb:6h,Nb:6h,Al:1b,Al:6h,Al:2c,Tc:3e,C:3d,C:1a"
mp-hawwl,Hf(NbS2)4,194,"Hf:2a,Nb:6h,Nb:2b,S:4f,S:12k"
mp-hawwm,Zr13Nb3(Ir2N)4,166,"Zr:1a,Zr:6h,Zr:6h,Nb:3d,Ir:6h,Ir:2c,N:3e,N:1b"
mp-hawwn,TiNb7(Cu2C)2,74,"Ti:2c,Nb:2b,Nb:2e,Nb:2e,Nb:8j,Cu:4i,Cu:4h,C:2d,C:2a"
mp-hawwo,Ta12Zn11NiN2,160,"Ta:3b,Ta:3b,Ta:3b,Ta:3b,Zn:3b,Zn:3b,Zn:1a,Zn:1a,Zn:3b,Ni:1a,N:1a,N:1a"
mp-hawwp,Ca2(Al3Ir)3,63,"Ca:4g,Al:2c,Al:8h,Al:4f,Al:4g,Ir:4e,Ir:2a"
mp-hawwq,Li16TiSiAs8,216,"Li:4e,Li:6f,Li:6g,Ti:1c,Si:1a,As:4e,As:4e"
mp-hawwr,Ta2Ni7(B3Ru7)2,166,"Ta:2c,Ni:6h,Ni:1a,B:6h,Ru:6h,Ru:6f,Ru:2c"
mp-hawws,Ti4InRe17Tc7,8,"Ti:2b,Ti:1a,Ti:1a,In:1a,Re:2b,Re:1a,Re:2b,Re:2b,Re:2b,Re:2b,Re:1a,Re:2b,Re:1a,Re:2b,Tc:2b,Tc:2b,Tc:2b,Tc:1a"
mp-hawwt,Y6Ti5Al11Ir7,160,"Y:3b,Y:3b,Ti:1a,Ti:3b,Ti:1a,Al:3b,Al:1a,Al:3b,Al:1a,Al:3b,Ir:1a,Ir:3b,Ir:3b"
mp-hawwu,K3Ta2SbSe11,9,"K:2a,K:2a,K:2a,Ta:2a,Ta:2a,Sb:2a,Se:2a,Se:2a,Se:2a,Se:2a,Se:2a,Se:2a,Se:2a,Se:2a,Se:2a,Se:2a,Se:2a"
mp-hawwv,LiHf6Al15Pd7,160,"Li:1a,Hf:3b,Hf:3b,Al:3b,Al:1a,Al:3b,Al:1a,Al:3b,Al:1a,Al:3b,Pd:1a,Pd:3b,Pd:3b"
mp-hawww,Zr8Sc14TcOs7,225,"Zr:8f,Sc:6e,Sc:8f,Tc:1a,Os:6d,Os:1b"
mp-hawwx,Cs6Nb2SeS7,26,"Cs:4c,Cs:4c,Cs:2a,Cs:2b,Nb:2a,Nb:2b,Se:2b,S:4c,S:4c,S:2a,S:2b,S:2a"
mp-hawwy,Zr6Zn22GaAg,225,"Zr:6e,Zn:8f,Zn:6d,Zn:8f,Ga:1b,Ag:1a"
mp-hawwz,Ta3MnAl2C,227,"Ta:12f,Mn:4d,Al:8e,C:4c"
mp-hawxa,Ca20(Si3Bi)3,89,"Ca:8p,Ca:8p,Ca:2h,Ca:2g,Si:8p,Si:1a,Bi:1d,Bi:1c,Bi:1b"
mp-hawxb,Hf6Ti16Ir3Os4,12,"Hf:2i,Hf:2g,Hf:2i,Ti:4j,Ti:4j,Ti:4j,Ti:4j,Ir:1d,Ir:2f,Os:2e,Os:1c,Os:1a"
mp-hawxc,Hf6Al16CuIr6,71,"Hf:4n,Hf:2i,Al:4m,Al:4l,Al:4m,Al:4l,Cu:1d,Ir:4k,Ir:1b,Ir:1a"
mp-hawxd,CdAs2F12,122,"Cd:2a,As:4c,F:8e,F:8e,F:8e"
mp-hawxe,Zr6Zn15PAu8,225,"Zr:6e,Zn:6d,Zn:8f,Zn:1a,P:1b,Au:8f"
mp-hawxf,InGa2(Ni10B3)2,216,"In:1d,Ga:1a,Ga:1c,Ni:12h,Ni:4e,Ni:4e,B:6f"
mp-hawxg,Sr2ScV3O11,2,"Sr:2i,Sr:2i,Sc:2i,V:2i,V:2i,V:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i"
mp-hawxh,CaMgAs4F24,82,"Ca:1c,Mg:1a,As:2e,As:2f,F:4g,F:4g,F:4g,F:4g,F:4g,F:4g"
mp-hawxi,K2Si3PtO9,146,"K:3b,K:1a,Si:3b,Si:3b,Pt:1a,Pt:1a,O:3b,O:3b,O:3b,O:3b,O:3b,O:3b"
mp-hawxj,Ba7Sr3(Bi2As)2,2,"Ba:2i,Ba:2i,Ba:2i,Ba:2i,Ba:2i,Ba:2i,Ba:2i,Sr:2i,Sr:2i,Sr:2i,Bi:2i,Bi:2i,Bi:2i,Bi:2i,As:2i,As:2i"
mp-hawxk,Mg5Si16(Pd4Rh)2,8,"Mg:2b,Mg:1a,Mg:1a,Mg:1a,Si:2b,Si:2b,Si:2b,Si:1a,Si:2b,Si:1a,Si:2b,Si:2b,Si:1a,Si:1a,Pd:2b,Pd:1a,Pd:2b,Pd:1a,Pd:1a,Pd:1a,Rh:2b"
mp-hawxl,LiLu6Zn22Si,225,"Li:1a,Lu:6e,Zn:8f,Zn:6d,Zn:8f,Si:1b"
