material_id,formula_pretty,spacegroup_number,wyckoff_positions
mp-hamkf,Sr6In4Sb3P5,6,"Sr:1a,Sr:1b,Sr:1a,Sr:1a,Sr:1b,Sr:1b,In:1a,In:1a,In:1b,In:1b,Sb:1a,Sb:1a,Sb:1b,P:1b,P:1a,P:1a,P:1b,P:1b"
mp-hamkg,ScZn2Rh3O8,166,"Sc:1b,Zn:2c,Rh:3e,O:6h,O:2c"
mp-hamkh,AgSnRhSe4,74,"Ag:2e,Sn:2a,Rh:2d,Se:4i,Se:4h"
mp-hamki,NaLu3As6Rh7,166,"Na:1b,Lu:3d,As:6h,Rh:6g,Rh:1a"
mp-hamkj,Hf6AlSnC4,187,"Hf:2g,Hf:2h,Hf:2i,Al:1b,Sn:1a,C:2i,C:2h"
mp-hamkk,Lu3Mg(AlPt)4,6,"Lu:1b,Lu:1a,Lu:1a,Mg:1b,Al:1b,Al:1b,Al:1a,Al:1a,Pt:1b,Pt:1b,Pt:1a,Pt:1a"
mp-hamkl,Sr3LuSb3,5,"Sr:2c,Sr:2c,Sr:2c,Lu:2c,Sb:1b,Sb:1a,Sb:2c,Sb:2c"
mp-hamkm,TiCu2Ir3S8,166,"Ti:1b,Cu:2c,Ir:3e,S:6h,S:2c"
mp-hamkn,Be2SiW5,140,"Be:4h,Si:2a,W:8l,W:2c"
mp-hamko,Hf5SiPb3,193,"Hf:4d,Hf:6g,Si:2b,Pb:6g"
mp-hamkp,Ta4Al6CoCu,164,"Ta:2d,Ta:2d,Al:6i,Co:1b,Cu:1a"
mp-hamkq,LiCuPdO4,74,"Li:2e,Cu:2d,Pd:2a,O:4h,O:4i"
mp-hamkr,Hf2NbSb3,63,"Hf:4f,Nb:2c,Sb:2c,Sb:4f"
mp-hamks,Ti5Ga2Bi,69,"Ti:4m,Ti:4m,Ti:2g,Ga:2h,Ga:2f,Bi:2i"
mp-hamkt,Mg3Zn(PdO4)2,44,"Mg:2c,Mg:1a,Zn:1b,Pd:2d,O:2c,O:2d,O:2d,O:2c"
mp-hamku,Ca12Hg5Rh,44,"Ca:1a,Ca:4e,Ca:2d,Ca:2c,Ca:2d,Ca:1b,Hg:4e,Hg:1b,Rh:1a"
mp-hamkv,KLiHfTe3,11,"K:2e,Li:2e,Hf:2e,Te:2e,Te:2e,Te:2e"
mp-hamkw,Hf6Si6Tc5Mo,44,"Hf:4e,Hf:2c,Si:2d,Si:2d,Si:2c,Tc:2d,Tc:2d,Tc:1b,Mo:1a"
mp-hamkx,Hf3Zr3(CuN)2,8,"Hf:1a,Hf:1a,Hf:1a,Zr:1a,Zr:1a,Zr:1a,Cu:1a,Cu:1a,N:1a,N:1a"
mp-hamky,FeHgCl4,2,"Fe:2i,Hg:2i,Cl:2i,Cl:2i,Cl:2i,Cl:2i"
mp-hamkz,BaLiYTe3,63,"Ba:2c,Li:2c,Y:2a,Te:4f,Te:2c"
mp-hamla,Ca5Sn2BiH,140,"Ca:2c,Ca:8l,Sn:4h,Bi:2a,H:2b"
mp-hamlb,Ca7Cd2GeN2,65,"Ca:2i,Ca:2i,Ca:1b,Ca:2j,Cd:2j,Ge:1d,N:2i"
mp-hamlc,Lu4Sb6Ru4Rh3,155,"Lu:1b,Lu:3e,Sb:6f,Ru:3e,Ru:1a,Rh:3e"
mp-hamld,Zr3C2Se,194,"Zr:2a,Zr:4f,C:4f,Se:2b"
mp-hamle,Rb2NaBS3,15,"Rb:4f,Na:2d,B:2e,S:4f,S:2e"
mp-hamlf,Y4Sn3Ge3Rh7,160,"Y:1a,Y:3b,Sn:3b,Ge:3b,Rh:6c,Rh:1a"
mp-hamlg,BaGePdSe4,140,"Ba:2a,Ge:2b,Pd:2d,Se:8l"
mp-hamlh,Rb4TaVBr12,123,"Rb:4i,Ta:1d,V:1a,Br:2g,Br:2h,Br:4k,Br:4j"
mp-hamli,Mn4CuNiSe8,216,"Mn:4e,Cu:1a,Ni:1d,Se:4e,Se:4e"
mp-hamlj,MnZn(AuO2)2,15,"Mn:2e,Zn:2e,Au:4f,O:4f,O:4f"
mp-hamlk,Hf2TaSi3Ni2,63,"Hf:4f,Ta:2c,Si:2c,Si:4f,Ni:4f"
mp-hamll,Ba4CuH12Rh,65,"Ba:2i,Ba:2j,Cu:1c,H:4m,H:2i,H:2j,H:4o,Rh:1a"
mp-hamlm,Sr4H12PtAu,65,"Sr:2i,Sr:2j,H:2i,H:2j,H:4m,H:4o,Pt:1c,Au:1a"
mp-hamln,BeV10Si4As,5,"Be:1a,V:2c,V:2c,V:2c,V:2c,V:2c,Si:2c,Si:1b,Si:1a,As:1b"
mp-hamlo,Ca2Cu(SiPd2)3,8,"Ca:1a,Ca:1a,Cu:1a,Si:1a,Si:1a,Si:1a,Pd:2b,Pd:2b,Pd:2b"
mp-hamlp,TiCr2GaC2,194,"Ti:2a,Cr:4f,Ga:2b,C:4f"
mp-hamlq,Rb3Mg2H9Ru,166,"Rb:1a,Rb:2c,Mg:2c,H:3e,H:6h,Ru:1b"
mp-hamlr,TaNb4B2As,140,"Ta:2c,Nb:8l,B:4h,As:2a"
mp-hamls,Hf10BeSiSn6,162,"Hf:2c,Hf:2d,Hf:6k,Be:1a,Si:1b,Sn:6k"
mp-hamlt,Cs3Al2Sb3,11,"Cs:2e,Cs:2e,Cs:2e,Al:4f,Sb:2e,Sb:2e,Sb:2e"
mp-hamlu,Ca8CdHg3Pb4,47,"Ca:4u,Ca:2p,Ca:2o,Cd:1e,Hg:2s,Hg:1g,Pb:2t,Pb:1c,Pb:1a"
mp-hamlv,Sc5InSb2,38,"Sc:4f,Sc:2d,Sc:1a,Sc:2e,Sc:1b,In:2d,Sb:1a,Sb:2e,Sb:1b"
mp-hamlw,Lu5NiBiAs,69,"Lu:2e,Lu:4m,Lu:4n,Ni:2g,Bi:2f,As:2h"
mp-hamlx,Zr3Ti2Sb3C,193,"Zr:6g,Ti:4d,Sb:6g,C:2b"
mp-hamly,BaNa2HgSb2,26,"Ba:2a,Na:2b,Na:2a,Hg:2b,Sb:2a,Sb:2b"
mp-hamlz,RbNa3(In2Se3)2,12,"Rb:1d,Na:2g,Na:1a,In:4j,Se:4j,Se:2i"
mp-hamma,NaMn2(Sb6Os)2,12,"Na:1a,Mn:2e,Sb:2i,Sb:2i,Sb:4j,Sb:4j,Os:2f"
mp-hammb,Re3Tc(MoSe4)2,1,"Re:1a,Re:1a,Re:1a,Tc:1a,Mo:1a,Mo:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a,Se:1a"
mp-hammc,Ta6ReSi6Mo5,8,"Ta:2b,Ta:2b,Ta:2b,Re:1a,Si:2b,Si:1a,Si:1a,Si:1a,Si:1a,Mo:1a,Mo:1a,Mo:1a,Mo:1a,Mo:1a"
mp-hammd,K4Sr(GeS3)2,5,"K:1a,K:1a,K:1a,K:1b,Sr:1b,Ge:2c,S:2c,S:2c,S:2c"
mp-hamme,SrBiAsO5,2,"Sr:2i,Bi:2i,As:2i,O:2i,O:2i,O:2i,O:2i,O:2i"
mp-hammf,Cs2NbAuSe4,70,"Cs:4g,Nb:2b,Au:2a,Se:8h"
mp-hammg,Y2B4OsRh4,22,"Y:2g,B:4k,Os:1d,Rh:2h,Rh:1a,Rh:1c"
mp-hammh,LuSn5SbRu4,23,"Lu:1a,Sn:4k,Sn:1b,Sb:1d,Ru:4k"
mp-hammi,Ba(Bi3Rh)4,204,"Ba:1a,Bi:12g,Rh:4c"
mp-hammj,Zr10In3B2Sb3,189,"Zr:4h,Zr:3g,Zr:3f,In:3f,B:2e,Sb:3g"
mp-hammk,BaSi6(As3Pt2)2,8,"Ba:1a,Si:2b,Si:2b,Si:1a,Si:1a,As:2b,As:1a,As:2b,As:1a,Pt:2b,Pt:2b"
mp-hamml,Ba3H12RuPt,156,"Ba:1b,Ba:1a,Ba:1c,H:3d,H:3d,H:3d,H:3d,Ru:1a,Pt:1c"
mp-hammm,LiFe(IO3)4,2,"Li:1f,Fe:1h,I:2i,I:2i,O:2i,O:2i,O:2i,O:2i,O:2i,O:2i"
mp-hammn,Mo3RuBr12,6,"Mo:1a,Mo:1b,Mo:1a,Ru:1b,Br:2c,Br:2c,Br:1a,Br:1b,Br:1a,Br:1b,Br:2c,Br:2c"
mp-hammo,YZr3(MoN2)4,6,"Y:1a,Zr:1b,Zr:1b,Zr:1a,Mo:1b,Mo:1b,Mo:1a,Mo:1a,N:1b,N:1b,N:1a,N:1a,N:1b,N:1b,N:1a,N:1a"
